name,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Heilongjiang Province,119.1208315288,117.7656446871,117.9601787891,117.3189823875,118.9766243328,117.8217821782,117.660475725,119.110632405,116.8709865733,116.7195475238,117.3465448462,116.7681834468,115.8984864004,112.3472019738,111.8152524168,110.6813051508,109.8023793137,109.4955489614,109.2930603169,108.3763115775,107.5333730125,107.5018507856,107.585335019,107.3076044759,107.3719835197,107.0988979533,106.946970757,106.6525220724,106.5962883271,106.5197307642,105.8265670672,105.1876521071,105.1488283724,104.6594311377,104.8327137546,104.9846153846,104.8450085428,104.9775947681,104.907241173,104.8947741783,104.8558421851,104.6793760832,104.5779685265,104.5351473923,104.6208330991,104.1133963313,104.0805073063,104.0838670827,103.9695486678,104.0010813733,104.0025823112,104.5454545455,104.5844964569,105,103.5100821509,103.1293241086,102.4484604378,103.2969954799,102.0180675155,102.1883920076
Henan Province,106.5314200891,104.2938931298,104.1372825576,104.9226441632,104.0110650069,104.3010752688,104.1246160597,104.0965933592,104.1332770983,105.7012068248,104.6444718455,102.5220680958,100.4590984975,101.2219959267,101.7628205128,102.3412698413,102.1604938272,102.1771771772,102.7614138439,102.828499821,102.8383523711,102.827330865,102.7823240589,103.2681832746,102.895392279,103.0238240684,103.4316676701,103.6860879905,103.8382654556,103.7773933103,103.8276155373,103.7762237762,103.8302562689,104.098805646,104.6112600536,104.8451151708,105.1503267974,105.3755144033,105.5499495459,105.6118665019,105.8424242424,105.4882394868,105.6076959174,105.7348502438,105.9392265193,105.9078467153,104.5403461452,105.788647072,105.7658058771,105.7199646643,105.7650153441,106.5752231657,105.9267241379,105.9781444183,106.2513334756,105.9995760017,106.817700614,106.9110830173,106.940658419,106.9267682036
Hubei Province,106.4851112853,106.6524379718,106.4352100776,107.8102575723,106.4653745725,106.8724279835,106.6254159955,106.6990785628,106.5400075537,106.5800189145,106.2087340785,105.932657381,104.8896041197,103.9514094378,104.5281936067,105.1380386508,104.8037307807,104.971438975,105.5575682922,104.8153229495,104.4248248833,104.7474742339,105.0605710202,104.8734260263,105.0588729624,105.1567645089,105.3635901999,105.4070708557,105.4891907126,105.4578769384,105.3346098103,105.2144161983,105.2597166413,105.4616652045,105.7791367454,106.1586638831,106.2301490349,106.5202538223,106.5033010555,106.4191731194,106.5315403769,106.5163659006,106.2094816267,106.3180118987,106.3178331351,106.362855617,105.2276961586,106.5399916322,105.6196495159,105.500320049,104.3319672272,108.5943679521,105.8035714286,105.8035714286,108.6821974965,108.4219643166,107.6411674178,107.5550020756,107.4688796681,107.6141390393
Hunan Province,109.1061202201,108.8021353328,109.0282554719,109.23494157,109.5553275612,111.5203592556,111.5966488957,109.8787077317,110.016961106,109.4974074644,109.9512078613,108.4547100391,107.7657942586,108.1833268763,107.7399225001,108.0450483132,107.6697060186,107.735588057,107.757860415,107.7800163728,107.8023450427,107.8245664485,107.7506596306,107.8045631982,108.035899654,108.0850196585,108.217989471,108.3598411181,108.3102752705,108.2096319792,108.0291389357,107.8664068804,108.0013814888,108.0096448424,108.269258394,108.4921646547,108.7002839591,108.7204274281,108.7569764839,108.5901771138,108.5990995054,108.3793110503,108.4691555862,108.5912535072,108.437514601,108.4524278074,108.22678216,108.1100768919,107.9734411643,107.8863818753,107.8480787099,109.0304146174,108.614714202,107.4686848579,107.5981392566,107.5551217094,107.6840731634,107.9453106997,108.0089735714,107.6883400589
Inner Mongolia Autonomous Region,121.8533381977,121.9643457787,122.7051573143,122.605721393,125.1781472684,124.3840985442,124.381155177,125.6165072974,124.6220302376,124.0627130198,126.6908470237,128.8816295158,122.1776504298,119.8086662915,119.1489361702,117.9589707928,117.407345296,116.8651117273,116.3825757576,115.6503133119,115.7848063849,115.4624277457,113.7750893594,112.9250797024,112.4967824968,112.2215308027,112.1201025265,111.4497430381,111.2429511278,110.6515711645,110.1691067983,109.5945493131,109.5704845815,105.3299492386,105.1875,105.3895300907,107.3331276355,107.6625623283,105.7962354347,107.173246265,108.0996273779,108.9468599034,107.7830637488,107.2898074213,106.2072787733,105.6869881711,108.2786287381,108.0642251488,107.9860490073,107.844353838,107.6760749143,107.1603213413,106.9370702411,106.7808397809,106.6701406983,106.5309657861,106.2397372742,106.0459908707,106.0395785145,105.6748466258
Jiangsu Province,102.6309716132,102.5552603313,102.4699562497,102.3925516943,102.0645844362,102.8146187158,100.697662704,100.1992499976,99.5901033092,99.4314323315,100.2058285416,99.3660692065,98.923672639,98.9112923584,99.5269159231,101.0543437089,100.698839319,100.7666059189,101.4547820106,101.8107132182,100.8960320264,100.6858815393,100.9366742255,101.0571223479,101.4629309115,101.5871406115,101.7757029421,102.0134870321,102.1295319167,102.308348475,102.3888030225,102.3619498098,102.8718211829,103.2804289329,103.622055607,103.7838212665,104.0397605435,104.1833837015,104.361515134,104.4687148673,104.4529600375,103.624797636,101.7754898666,101.6126209174,101.7346714229,101.3664329045,103.2533094009,103.1799373614,103.0768968515,102.9370546385,102.7823383224,102.5800672388,102.507206912,102.697611064,102.5207694117,102.7159712638,100.0797695783,100.0858703517,100.0792496995,100.1079198578
Jiangxi Province,103.1515526031,104.7127937337,104.9108812165,105.8048477315,104.7590288682,104.9650432516,105.0226717824,106.1147372037,105.9739681833,106.9457968192,108.3289404323,108.636977058,106.9470022509,105.8010492333,106.000588293,106.3733513045,105.9563758389,106.212750587,106.8623143836,105.41114509,105.9360355176,106.4132257807,106.4689397478,106.2878787879,106.3055127358,106.439854192,106.6912686255,106.8046132972,106.8187848236,106.6753246753,106.5898912348,106.5172087149,106.3905547226,106.4557898631,106.7170087084,106.9795283132,107.1592988255,107.1966624174,107.2993950462,107.1296035985,107.189867817,107.3398987975,107.0173559032,107.3605002385,106.9989561587,105.2023712183,105.301192642,106.6129843986,105.8884810001,103.9811164647,106.3899321984,108.3103188551,109.1122545836,106.8688452305,105.1700024114,106.2298396803,103.5840770647,104.7082134264,105.1277235162,105.4489424289
Jilin Province,113.7105318924,113.3236634894,112.5076640098,111.4399205561,113.3684805121,111.7636363636,111.7864693446,110.1063829787,110.7920959297,111.0561871808,111.5694489204,112.8427787934,110.6807686578,108.6784452297,108.731667572,108.8373919874,107.7439797212,107.3465859983,107.3819845857,106.3675663045,106.368409039,106.3900599068,105.625939446,105.6475272422,105.7696249231,105.7128412538,105.6906517839,105.6609336609,105.6013979225,105.2817574021,105.0112612613,104.9601335064,104.7636530519,104.7709750567,104.976517341,105.1086370982,105.0687131894,105.0934538046,105.0372970601,105.1518579758,105.2261823167,104.6975924839,104.7702297702,104.6827169686,104.5815916728,104.570220379,104.3826616457,104.1073124406,103.8494707958,103.7570444584,103.6667964188,103.5404400372,103.4328473347,103.4088291747,103.241342405,103.2139858004,103.0888618381,102.9309300212,102.6990451846,102.6239067055
Liaoning Province,107.5963718821,107.7519379845,107.5824175824,107.9655543595,108.4867075665,107.722007722,106.8097014925,107.464028777,107.1799307958,106.8527918782,108.6738949124,108.8979591837,107.1546052632,106.2297734628,105.8184639255,105.5639097744,105.1132213294,105.146533238,104.9157303371,104.3865661412,105.0505050505,104.9169435216,104.5691906005,104.5806451613,104.4416243655,104.5197740113,104.741110418,104.7619047619,104.6511627907,104.5810729355,104.1518386714,104.1569086651,104.0993071594,104.0909090909,104.3355855856,104.418344519,104.4370493622,104.5005488474,104.4937736871,104.5989304813,104.3753294676,104.2231491137,104.199066874,104.1258380609,104.1517170682,104.0733197556,104.0465351543,103.9718451483,103.85,103.7867463876,103.6228287841,103.4940944882,103.4838076546,103.3268101761,103.173828125,102.96692607,100.5225653207,101.3672795851,101.2172284644,100.7910656119
Ningxia Hui Autonomous Region,110.0877192982,111.2359550562,111.9509866327,113.1078856801,113.2269904009,113.0885122411,112.5788592764,114.1949943967,113.4967864794,114.8551126901,120.9924875675,117.9781029367,114.0628294328,110.7154213037,110.8855335646,110.7069320522,110.7126265911,111.4254917812,110.7891332471,108.5429598171,109.6945235834,108.2989110026,108.2376870551,107.8746765508,107.7764277035,107.4478519584,108.0446643827,107.72682567,107.3624401914,107.4441397818,106.7684969621,106.8293762798,106.6404355091,106.6021867115,106.7402341726,106.6588785047,106.3915575688,106.456478373,106.6581184404,106.460452371,106.3566243194,106.0713337463,106.1244019139,106.1687756498,105.9926979731,105.913363302,105.6759794477,105.8328726009,105.6851765438,105.5115094412,105.1544445284,105.0303299305,105.3523899807,105.0514835145,105.340647673,105.5648828262,105.2146077858,104.8903821353,104.4525596355,104.3131677306
